order_id,customer_id,product_id,quantity,unit_price,order_date,status,country
ORD-001,CUST-A,PROD-X,2,29.99,2026-02-10,confirmed,GB
ORD-002,CUST-B,PROD-Y,1,149.00,2026-02-10,shipped,DE
ORD-003,CUST-C,PROD-X,3,29.99,2026-02-11,confirmed,FR
ORD-004,CUST-A,PROD-Z,1,89.50,2026-02-11,pending,GB
ORD-005,CUST-D,PROD-Y,2,149.00,2026-02-11,shipped,NL
ORD-006,CUST-E,PROD-X,5,29.99,2026-02-12,confirmed,DE
ORD-007,CUST-B,PROD-Z,1,89.50,2026-02-12,cancelled,DE
ORD-008,CUST-F,PROD-Y,1,149.00,2026-02-12,shipped,GB
ORD-009,CUST-G,PROD-X,4,29.99,2026-02-13,confirmed,FR
ORD-010,CUST-H,PROD-Z,2,89.50,2026-02-13,returned,NL
ORD-011,CUST-I,PROD-Y,3,149.00,2026-02-14,shipped,GB
ORD-012,CUST-J,PROD-X,1,29.99,2026-02-14,confirmed,DE
ORD-013,CUST-A,PROD-Z,2,89.50,2026-02-14,confirmed,GB
ORD-014,CUST-K,PROD-Y,1,149.00,2026-02-15,pending,FR
ORD-015,CUST-L,PROD-X,6,29.99,2026-02-15,shipped,NL
ORD-016,CUST-M,PROD-Z,1,89.50,2026-02-15,confirmed,DE
ORD-017,CUST-N,PROD-Y,2,149.00,2026-02-16,confirmed,GB
ORD-018,CUST-O,PROD-X,3,29.99,2026-02-16,shipped,FR
ORD-019,CUST-P,PROD-Z,1,89.50,2026-02-16,cancelled,NL
ORD-020,CUST-Q,PROD-Y,1,149.00,2026-02-17,shipped,GB
